cluster_id,cluster_size
0,20
1,310
2,44
3,274
4,1059
5,4
6,10
7,141
8,77
9,11
10,150
11,10
12,3
13,3
14,2
15,10
16,6
17,4
18,28
19,67
20,15
21,251
22,9
23,32
24,5
25,124
26,19
27,4
28,19
29,5
30,11
31,58
32,10
33,5
34,7
35,5
36,26
37,4
38,17
39,49
40,4
41,2
42,3
43,7
44,4
45,29
46,3
47,10
48,2
49,41
50,6
51,10
52,4
53,6
54,4
55,3
56,32
57,5
58,15
59,2
60,14
61,64
62,8
63,4
64,70
65,10
66,5
67,9
68,4
69,2
70,162
71,3
72,6
73,5
74,2
75,40
76,3
77,6
78,6
79,3
80,3
81,4
82,2
83,16
84,9
85,6
86,3
87,3
88,7
89,2
90,2
91,19
92,6
93,2
94,9
95,3
96,3
97,3
98,2
99,2
100,2
101,2
102,2
103,3
104,9
105,12
106,9
107,2
108,5
109,4
110,4
111,10
112,2
113,6
114,2
115,4
116,2
117,8
118,13
119,10
120,3
121,2
122,14
123,22
124,4
125,2
126,2
127,11
128,13
129,2
130,4
131,3
132,7
133,3
134,2
135,4
136,3
137,7
138,3
139,2
140,2
141,2
142,3
143,4
144,11
145,3
146,2
