i,j,w
18468961,1938819325,14.183
18468962,2466442731,17.059
18468962,9024139144,24.326
18468962,4866651969,74.914
18469130,213670986,60.724000000000004
18469130,1312188714,48.660000000000004
18469132,18469130,42.991
20458277,1312188692,3.028
20458277,250326914,83.579
20460680,968499092,9.607
20460680,6978555522,19.716
20460680,1150003532,16.732
20460681,1326821569,20.585
20460681,20460686,29.061
20460684,2990732269,80.402
20460684,10577984012,4.089
20460684,18398282,10.616000000000001
20460686,10607128,27.028
20460687,5238528591,8.947
20460690,20460696,23.418
20460691,20460697,37.732
20460691,5060405441,29.482
20460696,20460697,24.220999999999997
20460696,2135411293,69.99199999999999
20460697,20460681,24.758
20625793,10544409948,4.793
20625793,5976760446,30.387
20625800,1561411396,38.696
20625800,710521820,38.798
20626282,3616299208,4.807
20626282,8675201272,13.673
20626282,1590088441,165.928
20626290,10306429319,79.207
20626290,2278320131,37.958
20626290,1590088441,135.555
20626301,4085778920,5.211
20626301,108845,121.625
20626301,7824747306,17.503
20626304,1990694616,55.865
20626304,3519324894,32.194
20626304,2941549929,21.950000000000003
20626306,20626307,52.007
20626306,25505685,110.37
20626306,3519324894,67.93
20626307,20626306,52.007
20626307,1536948474,79.465
20626307,5124166978,5.031
20626311,3796814729,8.629
20626311,109411,25.59
20626311,4866475733,53.566
20626312,4866475729,5.084
20626312,4866475730,5.351
20626312,7572522540,18.273
20626313,4866475729,66.565
20626314,7572833353,19.391
20626315,7572522511,29.718
20626315,4866475730,29.048
20626315,109411,36.789
20626316,7572522513,11.715
20626317,3796774902,3.924
20626317,5124166971,21.627
20626317,20626318,9.485
20626318,20626317,9.485
20626318,18395806,38.437
20626318,473262660,121.63900000000001
20965794,6369329166,23.877000000000002
20965794,8868824856,7.215999999999999
20965794,1215563904,17.506
20965797,1215563895,19.431
20965797,373364228,18.659
20965798,6369329170,32.052
20965799,104319,21.512
20965799,20965800,30.398000000000003
20965800,2398924877,4.685
20965800,20965798,12.217
20965801,2398924898,1.613
20965801,25500239,67.661
20965801,1609966653,42.644
20965803,10263444809,11.71
20965803,1771426174,30.271
20965803,107687,21.147
21307200,18393873,14.709
21307200,10677374,46.888000000000005
21307200,21990632,59.944
21392267,25524297,7.396
