"","V1","V2","weight","height","size1","size1mean","size1norm","lccrank"
"68","L3_455843","L4_370720",200,1200,42331,56982.2611940299,0.742880312451256,9
"69","L3_37792","L4_33153",200,1200,41120,56982.2611940299,0.721628084571488,9
"70","L3_44208","L4_37474",200,1200,40875,56982.2611940299,0.71732850089639,9
"71","L3_104944","L4_81579",200,1200,39232,56982.2611940299,0.688494966291552,9
"72","L3_135618","L4_106229",200,1200,38483,56982.2611940299,0.675350524770539,9
"73","L3_410613","L4_331854",200,1200,37933,56982.2611940299,0.665698398152973,9
"74","L3_145744","L4_114755",200,1200,35360,56982.2611940299,0.620543994903887,9
"75","L3_449724","L4_56662",200,1200,34600,56982.2611940299,0.607206510850523,9
"76","L3_50408","L4_29790",200,1200,34551,56982.2611940299,0.606346594115503,9
"77","L3_300766","L4_242135",200,1200,32891,56982.2611940299,0.577214721051576,9
"78","L3_408751","L4_334051",200,1200,31010,56982.2611940299,0.5442044480195,9
"79","L3_242734","L4_197557",200,1200,30495,56982.2611940299,0.535166547641234,9
"80","L3_357292","L4_293599",200,1200,29211,56982.2611940299,0.512633219319498,9
"81","L3_70840","L4_56662",200,1200,29194,56982.2611940299,0.512334880860409,9
"82","L3_293005","L4_242396",200,1200,28726,56982.2611940299,0.504121798574917,9
"83","L3_106136","L4_82546",200,1200,28611,56982.2611940299,0.502103626645789,9
"84","L3_368223","L4_302695",200,1200,28539,56982.2611940299,0.500840075524944,9
"85","L3_100460","L4_77962",200,1200,28391,56982.2611940299,0.498242775998763,9
"86","L3_322132","L4_261540",200,1200,28335,56982.2611940299,0.497260014015883,9
"87","L3_370660","L4_286826",200,1200,28330,56982.2611940299,0.497172267410269,9
"88","L3_397677","L4_32021",200,1200,28292,56982.2611940299,0.496505393207601,9
"89","L3_61180","L4_49745",200,1200,28162,56982.2611940299,0.494223981461631,9
"90","L3_87892","L4_68909",200,1200,28146,56982.2611940299,0.493943192323665,9
"91","L3_129065","L4_101314",200,1200,27169,56982.2611940299,0.476797505586643,9
"92","L3_122545","L4_95884",200,1200,26698,56982.2611940299,0.468531775337782,9
"93","L3_55866","L4_29790",200,1200,26316,56982.2611940299,0.461827934668854,9
"94","L3_401109","L4_328670",200,1200,25780,56982.2611940299,0.452421498547008,9
"95","L3_133617","L4_104582",200,1200,25746,56982.2611940299,0.451824821628831,9
"96","L3_171678","L4_136270",200,1200,25452,56982.2611940299,0.446665321218714,9
"97","L3_60236","L4_48986",200,1200,24851,56982.2611940299,0.436118179223883,9
"98","L3_409473","L4_326744",200,1200,24330,56982.2611940299,0.426974982918879,9
"99","L3_41081","L4_29790",200,1200,24131,56982.2611940299,0.423482668015432,9
"100","L3_55404","L4_45422",200,1200,23677,56982.2611940299,0.41551527622566,9
"101","L3_405758","L4_332282",200,1200,22820,56982.2611940299,0.400475508023379,9
"102","L3_76888","L4_60379",200,1200,22776,56982.2611940299,0.399703337893974,9
"103","L3_381150","L4_288345",200,1200,21591,56982.2611940299,0.3789073923634,9
