node_id,cluster_id
4076126468,0
7946372941,0
104318,0
7946378610,1
104319,1
104320,2
10263444809,2
8868824851,2
20965803,2
104322,3
8869435268,3
25161368,3
7553887409,3
8869435286,3
8869435287,3
8869435288,3
8438226815,3
104323,4
7623861385,4
1532087855,4
295977520,4
2374491605,4
4715263991,4
4167762776,4
4715263993,4
2969438426,4
107584,5
251892950,5
107585,6
6218501751,6
107586,7
8515091591,7
3375451566,7
4726152850,7
4726152857,7
4726152858,7
8043350334,7
8043350335,7
107587,8
1678245252,8
3381130090,8
3375451563,8
3375451565,8
4688513230,8
4688513231,8
4688513237,8
4688513240,8
107588,9
2642857191,9
2538458887,9
5473274957,9
25248112,9
3715515059,9
25475770,10
4136137527,10
107606,10
1689605567,10
107626,11
8807410154,11
1312454055,11
107627,12
8807410158,12
107632,13
6458938017,13
107641,14
7926506531,14
7926506525,14
10311178960,15
10311362153,15
107643,15
8807441166,15
4729448869,16
10311178964,16
3664405913,16
8807441178,16
107644,16
1938819294,16
4922952353,17
1726730082,17
107646,17
5207476608,18
5207476609,18
5207476611,18
5207476613,18
5207476616,18
4627445257,18
4627445261,18
10309458701,18
107667,18
10309472541,18
10309472542,18
10309472543,18
10309472544,18
10309472547,18
10309472548,18
10309472553,18
4627491632,18
473265346,18
10539856459,18
3696548432,18
3696548437,18
3696548438,18
1828402774,18
4627445215,18
10310609894,18
1938819302,18
4175059691,18
10309153027,19
107668,19
10309140683,19
25503848,20
1726730329,20
1726730354,20
107685,20
8785484288,21
4530339699,21
7613626070,21
107686,21
1163955130,22
107687,22
107692,23
2294047375,23
107693,24
25496622,24
7223695326,24
338472586,25
338472589,25
1832129947,25
2458257563,25
1832129951,25
343669793,25
343669796,25
1364161197,25
5265953455,25
5265953457,25
5265953459,25
1364172237,25
1832129869,25
1832240590,25
1832129873,25
1832129878,25
1832240598,25
1832129881,25
1832129884,25
1832129888,25
6724775012,25
108389,25
6724775018,25
1832248428,25
1832248430,25
1364168178,25
1364168180,25
2458303223,25
1832129917,25
25495698,26
108391,26
390073160,27
108409,27
108845,28
5124166975,28
1145174402,29
1145174413,29
4571238069,29
109403,29
355416892,29
109408,30
894485202,30
1536948474,31
109412,31
1536948578,31
109414,32
9030029183,32
109416,33
1497452171,33
25248128,33
109728,34
5931509715,34
5931509718,34
109766,35
302013678,35
373402354,36
109780,36
9514602150,37
9514602151,37
9514602152,37
9514602153,37
4922952364,37
4922952370,37
109785,37
4823246342,38
1150003530,38
1685281260,38
1141415215,38
110143,38
1787108647,39
1787108648,39
1787108649,39
1787108650,39
110238,39
2293833763,40
5374174119,40
5880186827,40
5880186829,40
5880186830,40
5880186833,40
237908,40
3972566716,40
4150883407,41
4034060018,41
4197401811,41
4696544883,41
237911,41
4696545406,41
4530012702,42
6866779817,42
6866779818,42
282708,42
6866779798,42
6866779799,42
6866779802,42
4530012699,42
6866779806,42
4530012703,42
24661273,43
8807431546,43
2961540,43
24950109,43
2538458888,44
8807431560,44
2538458893,44
2538458898,44
24950101,44
2961557,44
5473274717,44
3215687074,45
2961891,45
1312454086,45
4807512540,45
4807512541,45
747893184,46
7610670913,46
7610670912,46
25503876,46
7610670919,46
25503880,46
7610670920,46
25503885,46
10572178,46
25503851,47
10572179,47
25503845,47
10572785,48
8972511963,48
25496748,48
8785568224,49
8785567914,49
8972441580,49
10572786,49
1985084095,49
8868824899,50
10004388708,50
10004388710,50
5041784489,50
8989843465,50
8868824911,50
8868824912,50
256766545,50
632447859,50
1366095189,50
5041784501,50
10607127,50
10607128,50
10607132,51
435104735,51
5468301555,52
5470932252,52
10607629,52
1721713699,53
10677374,53
8869464354,54
8869464357,54
5043864464,54
8869435281,54
1684511955,54
1718328435,54
10677375,54
10677376,55
2642857203,55
5473274959,55
1832129960,56
1832248457,56
1832248458,56
1832129962,56
7203717550,56
5374174224,56
5573931377,56
14672924,56
529722111,56
21307200,57
18393873,57
3664398009,58
18395811,58
1725360097,58
10311178967,58
8869472263,59
18398282,59
632438506,59
20460684,59
10577984012,59
8869472239,59
8869472242,59
4922952363,60
18468951,60
18468958,61
25161351,61
18468961,62
25161352,62
6369390700,62
1938819320,62
1938819325,62
250549587,63
4618510643,63
1312188692,63
20458277,63
5067002882,64
5041784423,64
20460680,64
1684710025,64
3739049356,64
5067002862,64
5067002867,64
968499092,64
3739049365,64
8975833911,64
1684710044,64
5238528591,65
20460687,65
20625793,66
10544409954,66
10544409948,66
3616299208,67
20626282,67
8675201272,67
4777897926,67
4085778920,68
20626301,68
1536948431,68
6446301329,68
4085778930,68
5146186589,68
5146186590,68
5146186591,68
5124166978,69
20626307,69
3796814729,70
20626311,70
20626312,71
4866475729,71
4866475730,71
4866475734,71
7572522523,71
1536948477,71
2504847039,71
7572522513,72
20626316,72
3796774902,73
1777728708,73
20626317,73
20626318,73
20965794,74
3229825166,74
8868824852,74
8868824856,74
8868824857,74
2398924896,75
20965798,75
20965800,75
2398924877,75
7946378606,75
2398924886,75
20965801,76
2398924898,76
25524297,77
3328228994,77
21392267,77
21392273,78
3972566713,78
21392276,79
4156336278,79
6606135977,80
6606135979,80
6606135983,80
21392279,80
21523714,81
6218501730,81
6218501736,81
6218501737,81
6465896907,81
4726152844,81
6465896909,81
21523718,82
1014649631,82
10596794785,83
27459970,83
2934288510,83
21523719,83
1707790096,84
21563479,84
21563481,85
21563489,85
21563504,86
762080105,86
21563507,87
762080077,87
6828921212,88
21563788,88
21565570,89
1777727947,89
1777727950,89
25504150,89
1777727958,89
1777727962,89
21578454,90
8785568223,90
6863550501,91
21583366,91
4017328647,91
1419565097,91
2586616722,91
4462683090,92
21686572,92
21686574,93
4462680070,93
21693787,94
25500239,94
21693795,95
8868824855,95
3515286913,96
1493676622,96
21990614,96
5565466183,96
4556931604,97
21990622,97
21990625,98
2003007012,98
250327100,98
21990627,99
475396924,99
5565443389,100
21990629,100
5565443390,101
21990630,101
8869464392,102
8869464378,102
5042033643,102
21990631,102
21990632,103
1718566886,103
1718566880,103
9693963681,104
